WING TAG;WEIGHT;HOT CARCASS WEIGHT;CARCASS WEIGHT WITH HEAD AND LEGS;COLD CARCASS WEIGHT;BREAST WEIGHT (2);THIGH WEIGHT (2);SPLEEN;LIVER;HEART;INTESTINE;EMPTY MUSCULAR STOMACH;GLANDULAR STOMACH;CRUDE PROTEIN;ETHER EXTRACT
G403;2223.3;1429.6;1725.6;1394;214;489.4;3.716;38.636;9.305;123.171;/;13.17;86.10546875;0.38
G439;2201.9;1450.2;1769.8;1405.4;236;538.7;3.494;34.725;10.084;71.8;45.273;9.781;86.14347235;1.66
G454;2159.9;1398.4;1724.9;1461.7;241.8;512.1;4.023;31.932;10.635;61.38;/;6.217;86.41689847;0.98
G465;2198.7;1473.9;1800.4;1425.1;227.7;549.9;3.087;32.326;11.927;64.879;35.861;8.358;85.95993516;1.1
G428;2003.2;1291.2;1581.6;1260.1;224.7;473.2;3.723;30.105;9.855;68.562;36.526;7.572;81.69363716;6.34
G424;2090.6;1486.7;1679.8;1344.7;230.2;523.5;3.794;25.916;14.799;58.011;40.993;8.435;87.53306566;1.93
G422;2063.6;1333.3;1596.4;1293.6;205.7;487.8;3.745;32.193;10.954;72.148;40.949;6.689;86.84098639;3.21
G480;2251.6;1428.8;1749.9;1381.5;241.5;510.7;2.542;33.326;11.547;72.605;45.323;8.589;88.24679943;0.85
G436;2235.9;1442.5;1741.1;1401.7;229.9;506.7;4.294;34.976;10.466;82.072;42.091;11.836;87.53988149;0.96
G489;2278.4;1448.3;1755.8;1407.7;253.8;537.5;4.457;36.808;9.801;87.439;49.148;11.169;88.19238378;1.45
G461;2085.1;1357.8;1667.8;1308.2;229.7;498.6;3.677;29.986;8.765;54.074;46.807;7.655;87.78619529;2.07
G494;2059;1366.1;1644.4;1327.6;228;506.2;3.754;35.883;14.2;56.671;31.103;6.423;86.24641834;0.81
R407;2141.5;1306.5;1636.1;1300.5;207.4;470.7;5.79;49.603;10.871;104.403;/;9.647;86.16107383;2.35
R471;2106.3;1324.6;1654.8;1281.7;210.4;495.3;3.343;33.504;11.431;61.847;49.057;7.177;86.51153846;3.08
R497;1968.4;1333.5;1598.1;1418.5;239.2;511.3;2.661;36.056;9.066;62.338;39.621;10.339;86.83657787;1.71
R448;2213.2;1425.4;1765.8;1378.8;224.6;516.6;7.758;36.687;13.392;76.261;43.128;7.239;84.99508116;3.48
R442;2234.6;1419.1;1717.8;1378.2;230.7;532.8;4.1;33.731;10.601;68.477;53.485;6.138;86.38116154;2.79
R460;2262.3;1485.5;1781.4;1443.5;277.7;524.2;5.581;31.624;12.192;65.48;38.836;9.662;88.51024209;2.28
R429;2118.3;1407.8;1714.5;1372.7;228.3;507.6;4.404;34.423;11.429;57.655;44.487;7.518;85.01293103;5.73
R478;2163.6;1450.3;1740.2;1407.2;235.4;485.8;4.701;32.43;13.155;64.903;47.665;10.858;85.97842751;3.12
R463;2177;1472.5;1742.7;1436.7;256.4;529.4;2.865;30.874;10.05;66.687;50.006;8.451;88.96623953;1.02
R191;2347.2;1521.6;1888.7;1471.9;242.2;549.2;3.725;31.388;10;64.748;43.695;8.157;84.75074221;4.31
R466;2226.1;1462.6;1720.5;1425.2;248;519.4;4.366;26.827;12.972;72.052;59.547;8.708;87.11337209;2.96
R434;2260.9;1471.6;1758.6;1425.7;232.8;545;4.292;33.316;11.04;64.971;61.306;6.798;87.26570107;0.93
B453;2116.7;1334.9;1662;1270.5;199.1;490;3.248;38.367;10.083;73.434;/;6.353;85.50974173;4.17
B477;2308.2;1472.6;1804.9;1429.6;228.3;542.6;4.933;44.37;13.613;77.686;61.702;10.498;87.1626506;1.36
B466;2136.2;1450.5;1699.9;1303.9;234.6;481.4;4.403;35.35;11.075;64.431;60.063;8.072;84.83712628;3.72
B422;2374.1;1564.9;1892.8;1519.6;248.4;565.8;4.019;32.123;14.1;66.168;45.428;12.254;86.89855876;2.11
B417;2221.1;1404.7;1740.2;1364.7;241.5;503.2;4.718;34.387;10.3;50.568;53.456;8.355;87.4808785;1.25
B411;2271.1;1510.4;1834.4;1445.9;236.8;556.8;4.014;29.016;11.284;53.15;43.586;6.745;88.20945946;1.62
B463;2145;1360.8;1669.2;1322.7;215.4;508.4;4.796;29.238;9.356;62.789;49.648;6.699;83.46470588;6.68
B429;2395.6;1576.8;1904.9;1533.9;271.2;574;5.11;32.316;13.29;56.131;63.571;6.518;86.33735236;3.89
B410;2259.3;1481.2;1741.2;1422.7;227.9;497;4.433;34.959;9.551;72.468;47.523;8.732;86.58724514;1.17
B402;2337.4;1461.6;1780.7;1426.2;221.3;515.7;2.464;34.926;11.573;85.991;63.86;11.23;87.89680703;2.2
B495;2268.4;1442.7;1744.8;1396;219.9;526.2;4.728;35.989;11.977;79.361;64.538;7.715;88.56424718;1.41
B444;2310.8;1501.4;1852.4;1463.2;244;569.4;3.829;33.687;12.023;67.207;42.852;7.882;87.4187935;1.78
V406;2230.9;1495.6;1801.3;1360.5;215.1;500.1;4.073;34.564;10.898;64.891;/;13.056;87.97644413;2.05
V462;2412.1;1514.6;1852.6;1474;238.8;553.7;6.666;37.79;14.102;68.686;50.119;10.406;84.6741869;5.74
V439;2086.4;1284.9;1599.8;1252.6;209.8;468.1;3.262;36.798;9.498;69.725;32.665;7.75;73.83718396;3.76
V410;2368.8;1597.8;1908.6;1549.1;247.8;573.8;5.388;34.287;14.385;57.47;35.164;9.172;85.94251653;3.59
V437;2023.8;1339.8;1645.6;1303.6;209.4;490.9;2.649;36.906;10.13;93.602;46.656;8.1;86.55537459;4.04
V432;2258;1490.5;1837.4;1460.5;242.2;565;4.722;30.864;13.795;52.861;44.855;7.501;87.64780405;2.44
V459;2195;1419.1;1745.9;1387.2;227.1;513.5;5.711;29.52;11.82;60.434;44.962;9.356;87.59956759;2.27
V453;2201.4;1435.4;1746.6;1399.6;239.2;517;3.063;33.208;14.592;65.833;51.851;7.745;86.17280138;3.88
V458;2308.2;1566.8;1865.1;1527.5;268.7;557.9;3.496;43.004;10.534;63.424;45.507;7.952;88.3538689;0.82
V483;2314.4;1532.6;1880.8;1495.7;239.1;571.3;3.485;30.388;13.455;66.629;50.136;8.796;87.26420872;1.82
V420;2139.1;1310.2;1669.2;1266;195.8;495.4;5.09;38.268;10.248;68.054;43.821;10.598;86.71974522;1.13
V480;2379.7;1523.7;1852.6;1481;237.3;531.2;4.377;37.679;13.055;72.512;66.616;10.119;85.26993355;5.31
G487;2295;1556.3;1833.3;1519.5;245.2;591.9;3.86;32.052;11.476;53.684;29.712;7.782;87.75864029;0.96
G473;2593;1693.1;2031.7;1656;256.9;604.3;4.893;42.89;14.129;86.202;40.936;7.589;87.89772727;1.15
G460;2206.7;1397.7;1688.2;1367.1;186.2;510.9;4.417;34.082;13.904;70.526;52.518;8.664;88.16909225;0.93
G448;2480.6;1630.5;1941.7;1596;207.3;604.2;3.628;36.009;13.231;68.339;35.408;6.604;88.4375;0.91
G421;2226.9;1443.7;1706.7;1413.8;220.2;526.6;3.57;35.255;9.451;62.557;51.944;6.312;87.12756849;1.17
G468;2416.7;1573.2;1877.5;1534.6;220.4;565.4;4.582;41.09;11.533;61.451;41.483;6.562;87.59496793;2.09
A631;2494.3;1575.3;1887.4;1543.3;237.1;545.6;3.547;40.86;14.354;80.102;56.23;11.57;87.93792517;1.85
G493;2572.4;1622.9;1945.8;1578;229;610.8;3.101;43.263;9.923;76.682;55.663;6.992;86.57736636;2.87
G474;2573.5;1718.5;2010.2;1684.9;243.8;614.3;4.471;38.17;10.662;64.2;42.66;7.248;87.36281235;1.02
G423;2587;1718.5;2030.9;1677.7;243.1;593.6;4.688;43.069;13.447;81.521;32.12;12.371;88.58175474;1.54
A470;2197.2;1391.6;1694.4;1362.8;177.1;522.2;2.917;41.955;10.429;75.748;43.964;7.172;89.53041036;0.77
G415;2418;1572.4;1887.1;1526.5;234.8;554.3;5.96;40.922;16.19;72.783;75.767;7.42;87.14756944;1.67
R445;2300.3;1394.1;1668.1;1357.8;210.4;487.5;3.304;33.573;14.471;44.133;45.327;7.095;87.96693735;0.94
R433;2303.9;1456.4;1774.5;1421;188;533.8;3.995;41.659;12.55;67.985;42.129;8.356;87.80427223;1.78
R431;2602.3;1720.5;2053.1;1687.6;268.1;582.5;3.258;40.34;15.335;60.697;47.964;7.264;86.04511101;4.71
R449;2519.9;1651.8;1958.9;1616.7;242.4;555.8;2.997;34.739;10.852;69.4;44.811;7.903;88.72188379;0.78
R469;2374.8;1561.5;1894.8;1529.3;228.5;563.1;5.113;35.849;11.512;61.281;32.599;6.19;88.39171975;1.69
R476;2298.7;1520.1;1842.1;1484.6;225.4;563.4;3.664;29.157;12.625;50.05;32.947;5.497;89.00959759;1.64
R275;2212.2;1372.9;1658.4;1340;192;482.1;3.124;43.689;15.169;56.349;38.155;6.147;85.02849356;2.86
R427;2653;1744.8;2037.1;1697.1;257.6;610.5;5.952;44.001;11.252;76.283;48.009;6.786;87.27863385;2.31
R479;2036.6;1292.1;1554.4;1266.6;189.8;444.9;3.794;32.442;10.026;60.47;56.347;6.541;87.55492516;1.19
R464;2406.6;1425.9;1753.3;1383.3;195.7;525;3.873;53.133;8.561;78.876;59.583;7.017;87.45037807;2.91
R421;2467.4;1607.8;1906.6;1573.7;212.6;528.3;3.663;39.768;12.103;69;51.322;7;88.33066896;1.17
R462;2575.7;1830.7;2114.8;1771.9;287;634.8;4.946;34.897;17.083;68.516;58.708;9.849;89.07773308;0.99
B474;2364;1530.5;1847.5;1495.8;221.9;552.1;4.187;47.639;12.888;85.77;41.917;7.195;86.86851601;1.3
B465;2521.5;1678.2;2031;1639.3;235;608.5;4.733;39.233;12.279;62.282;40.425;8.269;89.44758065;0.68
B469;2645.5;1633.3;2011.1;1599.1;236;580.9;6.043;51.161;11.569;88.831;51.903;6.261;88.60882614;1.7
B425;2890.5;1929.4;2262.8;1891.7;275.4;665.1;3.638;38.77;12.36;80.954;56.698;9.55;87.66685144;1.89
B483;2145.3;1392.6;1696.3;1362;186.6;507.7;4.557;32.588;12.021;47.955;40.7;5.58;87.6940133;1.97
B427;2777.8;1808.8;2158.6;1760;248.9;637;4.968;44.706;14.185;80.961;45.321;7.097;89.01065022;1.71
B497;2419.6;1592.2;1882.5;1550.6;233.8;537.3;4.88;36.563;10.697;66.436;55.671;7.488;89.62450155;1.87
B486;2362.3;1501.9;1826.5;1459.7;196.8;555.1;3.957;42.504;10.362;68.32;68.602;9.263;89.48600705;0.57
B438;2721.5;1780.9;2117.8;1752.4;244.2;587.6;5.415;36.965;11.603;78.162;44.006;8.109;88.98426237;1.71
B493;2633.4;1738.9;2033.9;1676.8;232.4;559.5;3.406;36.364;14.053;78.271;54.71;8.837;88.43059937;1.15
B461;2475.6;1656.7;1964.4;1617.7;229.5;598.7;4.008;41.204;13.448;61.12;45.636;6.94;88.63668224;1.58
B401;2824.3;1892.8;2226.2;1844.3;273.6;690.6;6.59;36.965;14.265;70.521;34.692;8.105;90.24053628;0.32
V419;2261.7;1431.5;1740;1398.1;533.2;177.8;3.225;43.454;13.066;82.294;48.933;7.635;86.57736636;3.98
V445;2473.2;1610.2;1944.4;1573.7;226.9;575.8;4.295;38.853;12.781;67.503;45.045;8.965;87.43846695;1.94
V465;2615.2;1744.8;2032.9;1715;267;650.5;5.108;36.165;11.755;70.848;48.02;9.31;88.90925481;0.6
V418;2459.9;1560.3;1916.4;1514.6;234.8;569.1;2.967;41.033;11.098;67.694;42.632;7.432;88.7257117;1.6
V436;2230.6;1447.8;1760.4;1420.2;205.3;505.8;2.959;30.909;8.821;62.251;45.366;6.322;88.84212345;1.8
V442;2703.6;1817.2;2142.2;1768.4;259.4;628.3;4.976;34.663;13.985;66.565;52.457;8.013;88.83152174;0.48
V403;2544.6;1674.9;2012.5;1642.9;228.4;614.1;4.899;40.36;14.096;67.968;49.281;9.366;87.82095369;2.39
V476;2633.1;1683.2;2034.1;1637.2;213.8;610.9;4.777;45.992;12.796;74.888;54.021;7.857;88.99912587;1.07
V454;2346.2;1547.8;1819.5;1511.2;228;528.2;3.673;35.09;11.504;68.455;42.173;7.837;88.50728755;1.13
V425;2648.2;1722.9;2050;1669.8;253.1;610;5.176;50.505;17.194;81.502;49.7;7.332;90.37558685;1.91
V490;2262.6;1498.5;1813.9;1468;212.1;548.4;2.829;30.266;11.129;53.011;46.816;5.425;91.21135266;2.21
V428;2704.3;1698.8;2038.8;1655.6;245.7;606.9;5.96;40.922;16.19;72.783;75.767;7.42;88.8250448;1.51
